"","","United Kingdom ","Wales ","","Wales "
"","",".","West Wales and the Valleys ","East Wales ","."
"All industries ","",31465300,812700,581900,1394500
"All industries ","Agriculture, forestry and fishing ",414400,26900,15800,42700
"","Production ",2818700,99700,73500,173300
"","Construction ",2079200,62900,34100,97000
"","Wholesale, retail, transport, hotels and food ",8113700,201100,136200,337300
"","Information and communication ",1332800,17900,17800,35700
"","Finance and insurance activities ",1066600,11600,20800,32400
"","Real estate activities ",519400,12700,9600,22200
"","Professional, scientific and technical activities; administrative and support service activities ",5408500,75500,77400,152900
"","Public administration, defence, education and health ",7925300,262500,165100,427600
"","Other service activities ",1786700,41800,31500,73300


