"","","United Kingdom ","Wales ","","Wales "
"","",".","West Wales and the Valleys ","East Wales ","."
"All industries ","",32914900,823100,599700,1422800
"All industries ","Agriculture, forestry and fishing ",393200,26600,13700,40200
"","Production ",2888400,97300,67700,165100
"","Construction ",2296200,56800,34000,90800
"","Wholesale, retail, transport, hotels and food ",8441700,201700,131800,333500
"","Information and communication ",1451100,30300,28600,58900
"","Finance and insurance activities ",1052600,12700,19400,32100
"","Real estate activities ",561300,10300,7900,18200
"","Professional, scientific and technical activities; administrative and support service activities ",5882900,81800,94500,176400
"","Public administration, defence, education and health ",8012100,258100,166400,424500
"","Other service activities ",1935900,47600,35700,83200


